dogBreed,dogBreedLabel,countryLabel,height,heightQualifierLabel,mass,massQualifierLabel,lifeExpectancy,lifeExpectancyQualifierLabel
http://www.wikidata.org/entity/Q38655,Немецкий шпиц,Германия,27,Kleinspitz,,,,
http://www.wikidata.org/entity/Q38655,Немецкий шпиц,Германия,49,Вольфшпиц,,,,
http://www.wikidata.org/entity/Q38655,Немецкий шпиц,Германия,21,Померанский шпиц,,,,
http://www.wikidata.org/entity/Q38668,Ирландский волкодав,Ирландия,71,минимум,40.5,минимум,,
http://www.wikidata.org/entity/Q38668,Ирландский волкодав,Ирландия,71,минимум,54.5,минимум,,
http://www.wikidata.org/entity/Q38655,Немецкий шпиц,Германия,35,German Spitz Mittel,,,,
http://www.wikidata.org/entity/Q38668,Ирландский волкодав,Ирландия,79,минимум,40.5,минимум,,
http://www.wikidata.org/entity/Q38668,Ирландский волкодав,Ирландия,79,минимум,54.5,минимум,,
http://www.wikidata.org/entity/Q38688,Ризеншнауцер,Германия,60,минимум,47,максимум,,
http://www.wikidata.org/entity/Q38688,Ризеншнауцер,Германия,60,минимум,35,минимум,,
http://www.wikidata.org/entity/Q38716,Коикерхондье,Нидерланды,42,максимум,,,,
http://www.wikidata.org/entity/Q38716,Коикерхондье,Нидерланды,35,минимум,,,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,максимум,50,максимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,максимум,60,максимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,максимум,50,минимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,максимум,45,минимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,76,максимум,50,максимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,76,максимум,60,максимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,76,максимум,50,минимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,76,максимум,45,минимум,,
http://www.wikidata.org/entity/Q38602,Ханаанская собака,Ханаан,60,максимум,18,минимум,,
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,42,максимум,11,максимум,,
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,42,максимум,13,максимум,,
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,42,максимум,8,минимум,,
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,42,максимум,11,минимум,,
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,45,максимум,11,максимум,,
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,45,максимум,13,максимум,,
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,45,максимум,8,минимум,,
http://www.wikidata.org/entity/Q38690,Муди,Венгрия,45,максимум,11,минимум,,
http://www.wikidata.org/entity/Q38642,Чешский терьер,Чехия,27,,10,максимум,,
http://www.wikidata.org/entity/Q38642,Чешский терьер,Чехия,29,,10,максимум,,
http://www.wikidata.org/entity/Q38642,Чешский терьер,Чехия,27,,6,минимум,,
http://www.wikidata.org/entity/Q38642,Чешский терьер,Чехия,29,,6,минимум,,
http://www.wikidata.org/entity/Q38651,Чехословацкая волчья собака,Чехословакия,60,минимум,20,минимум,,
http://www.wikidata.org/entity/Q38651,Чехословацкая волчья собака,Чехословакия,60,минимум,26,минимум,,
http://www.wikidata.org/entity/Q38651,Чехословацкая волчья собака,Чехословакия,65,минимум,20,минимум,,
http://www.wikidata.org/entity/Q38651,Чехословацкая волчья собака,Чехословакия,65,минимум,26,минимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,68,минимум,50,максимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,68,минимум,60,максимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,68,минимум,50,минимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,68,минимум,45,минимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,минимум,50,максимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,минимум,60,максимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,минимум,50,минимум,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,минимум,45,минимум,,
http://www.wikidata.org/entity/Q38602,Ханаанская собака,Ханаан,50,минимум,25,максимум,,
http://www.wikidata.org/entity/Q38602,Ханаанская собака,Ханаан,50,минимум,18,минимум,,
http://www.wikidata.org/entity/Q38686,Золотистый ретривер,Шотландия,56,максимум,,,,
http://www.wikidata.org/entity/Q38686,Золотистый ретривер,Шотландия,61,максимум,,,,
http://www.wikidata.org/entity/Q38686,Золотистый ретривер,Шотландия,51,минимум,,,,
http://www.wikidata.org/entity/Q38686,Золотистый ретривер,Шотландия,56,минимум,,,,
http://www.wikidata.org/entity/Q38679,Тервюрен (порода собак),Бельгия,,,,,,
http://www.wikidata.org/entity/Q38824,Новошотландский ретривер,Канада,48,минимум,20,максимум,,
