dogBreed,dogBreedLabel,countryLabel,height,heightQualifier,mass,massQualifier,lifeExpectancy,lifeExpectancyQualifier
http://www.wikidata.org/entity/Q39073,Рафейру ду Алентежу,Португалия,74,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38080,бульмастиф,Великобритания,64,http://www.wikidata.org/entity/Q10585806,59,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38080,бульмастиф,Великобритания,61,http://www.wikidata.org/entity/Q10585806,59,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38080,бульмастиф,Великобритания,66,http://www.wikidata.org/entity/Q10578722,59,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38080,бульмастиф,Великобритания,69,http://www.wikidata.org/entity/Q10578722,59,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,http://www.wikidata.org/entity/Q10585806,55,http://www.wikidata.org/entity/Q10578722,13,http://www.wikidata.org/entity/Q10578722
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,http://www.wikidata.org/entity/Q10585806,55,http://www.wikidata.org/entity/Q10578722,10,http://www.wikidata.org/entity/Q10585806
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,http://www.wikidata.org/entity/Q10578722,55,http://www.wikidata.org/entity/Q10578722,13,http://www.wikidata.org/entity/Q10578722
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,http://www.wikidata.org/entity/Q10578722,55,http://www.wikidata.org/entity/Q10578722,10,http://www.wikidata.org/entity/Q10585806
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,http://www.wikidata.org/entity/Q10578722,55,http://www.wikidata.org/entity/Q10578722,13,http://www.wikidata.org/entity/Q10578722
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,http://www.wikidata.org/entity/Q10578722,55,http://www.wikidata.org/entity/Q10578722,10,http://www.wikidata.org/entity/Q10585806
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,http://www.wikidata.org/entity/Q10585806,55,http://www.wikidata.org/entity/Q10578722,13,http://www.wikidata.org/entity/Q10578722
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,http://www.wikidata.org/entity/Q10585806,55,http://www.wikidata.org/entity/Q10578722,10,http://www.wikidata.org/entity/Q10585806
